market,source_id,gate,horizon,window,dates,mean_ret,median_ret,mean_excess,median_excess,dates_beating_market,excess_t_descriptive
kr,kr.random,none,5,recent,11,0.026008575972884227,0.059364096372633825,-0.016596680780449055,-0.017946093295470592,0.45454545454545453,-1.892715573334247
kr,kr.random,none,20,earlier,32,-0.07962073396456357,-0.08368054865176805,0.006276694519234992,0.003178635081080702,0.5625,0.6684509538123834
kr,kr.stable_growth,A_strong,5,earlier,13,0.0217894040974177,0.0241691842900302,0.008555282795451218,0.006062117586481355,0.6153846153846154,0.5300061224215403
kr,kr.stable_growth,A_strong,5,recent,7,-0.0258983716089597,-0.0290581162324649,-0.08507916390719804,-0.09471465747492311,0.0,-4.686328234866443
kr,kr.stable_growth,A_strong,20,earlier,12,-0.039239766800774185,-0.025335771756837176,0.07816059611413875,0.08236615851099012,0.8333333333333334,3.53657036563324
kr,kr.stable_growth,B_moderate2,5,earlier,36,0.05245192865686853,0.01820379325991315,0.075449952923374,0.03313775709879663,0.8888888888888888,3.4613486010599015
kr,kr.stable_growth,B_moderate2,5,recent,10,0.002389633028244835,-0.006280766266457425,-0.046439806316696315,-0.04342811974761643,0.0,-5.145600184635095
kr,kr.stable_growth,B_moderate2,20,earlier,32,0.05873422441614746,0.034141353445114986,0.144631652899946,0.08866469308459105,0.96875,5.3241033988856215
kr,kr.stable_growth,none,5,earlier,36,-0.006552006787832004,-0.039203508917800986,0.016446017478673483,0.0009447596748110626,0.5,1.5308095917403926
kr,kr.stable_growth,none,5,recent,11,0.048639562428024405,0.03220172289011007,0.006034305674691111,0.0088295791535176,0.5454545454545454,0.3672434178234155
kr,kr.stable_growth,none,20,earlier,32,-0.07683652797980348,-0.07431271111892843,0.009060900503995087,0.008739750865511244,0.5625,1.0027933808671392
kr,kr.steady_dividend,A_strong,5,earlier,7,0.016948166992698657,-0.001010101010101,0.03556898644050854,0.037906040257296714,0.7142857142857143,2.1000220263161227
kr,kr.steady_dividend,A_strong,20,earlier,7,0.040482815242202215,0.0229885057471264,0.14138078324338263,0.1424809534000694,1.0,8.178064649142827
kr,kr.steady_dividend,B_moderate2,5,earlier,36,0.0032975384095997,-0.0015449546037968585,0.02629556267610518,0.026922351608449552,0.75,3.0989066457558105
kr,kr.steady_dividend,B_moderate2,5,recent,11,0.0401329569532687,0.0410094637223974,-0.0024722998000645795,-0.00728718686100434,0.45454545454545453,-0.13786376532194167
kr,kr.steady_dividend,B_moderate2,20,earlier,32,-0.012111510103697331,-0.01691372864881676,0.07378591838010123,0.08941430110909603,0.8125,6.476748086597349
kr,kr.steady_dividend,none,5,earlier,36,-0.006816483547141593,-0.0007604929703567504,0.016181540719363893,0.024802502872303227,0.7222222222222222,1.998966365491227
kr,kr.steady_dividend,none,5,recent,11,0.008521649738088104,0.020021547939035742,-0.03408360701524518,-0.029691509037276697,0.18181818181818182,-2.9956872251546995
kr,kr.steady_dividend,none,20,earlier,32,-0.020644565458638124,-0.02896844145221434,0.06525286302516044,0.07515490031071335,0.84375,6.559383618290564
kr,kr.top_gainers,A_strong,5,earlier,3,0.02974751862657493,0.0239241450981256,-0.007070903496372331,0.0144656056987515,0.6666666666666666,-0.16598125360438004
kr,kr.top_gainers,A_strong,20,earlier,2,0.07474128408960788,0.07474128408960788,0.1600790369855788,0.1600790369855788,1.0,5.355398132570389
kr,kr.top_gainers,B_moderate2,5,earlier,17,-0.029263938664101066,0.011119900348235706,-0.026362900383889193,-0.021855266856686803,0.47058823529411764,-0.8437277285893051
kr,kr.top_gainers,B_moderate2,5,recent,2,0.1591618844254638,0.1591618844254638,0.021501775118152253,0.021501775118152253,0.5,0.17568077559899253
